SRX,index,!Sample_geo_accession,!Sample_status,!Sample_submission_date,!Sample_last_update_date,!Sample_type,!Sample_channel_count,!Sample_source_name_ch1,!Sample_organism_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_treatment_protocol_ch1,!Sample_growth_protocol_ch1,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_extract_protocol_ch1,!Sample_taxid_ch1,!Sample_description,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_phone,!Sample_contact_laboratory,!Sample_contact_department,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_state,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_data_row_count,!Sample_instrument_model,!Sample_library_selection,!Sample_library_source,!Sample_library_strategy,!Sample_relation,!Sample_relation,!Sample_supplementary_file_1,!series_matrix_table_begin,ID_REF,!series_matrix_table_end,ct
SRX229789,mouse 2-cell 1,GSM1080200,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,2-cell blastomere,Mus musculus,cell type: 2-cell blastomere,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229789,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915420,NONE,,GSM1080200,,2C
SRX229790,mouse 2-cell 2,GSM1080201,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,2-cell blastomere,Mus musculus,cell type: 2-cell blastomere,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229790,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915421,NONE,,GSM1080201,,2C
SRX229791,mouse 2-cell 3,GSM1080202,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,2-cell blastomere,Mus musculus,cell type: 2-cell blastomere,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229791,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915422,NONE,,GSM1080202,,2C
SRX229792,mouse 4-cell 1,GSM1080203,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,4-cell blastomere,Mus musculus,cell type: 4-cell blastomere,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229792,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915423,NONE,,GSM1080203,,4C
SRX229793,mouse 4-cell 2,GSM1080204,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,4-cell blastomere,Mus musculus,cell type: 4-cell blastomere,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229793,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915424,NONE,,GSM1080204,,4C
SRX229794,mouse 4-cell 3,GSM1080205,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,4-cell blastomere,Mus musculus,cell type: 4-cell blastomere,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229794,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915425,NONE,,GSM1080205,,4C
SRX229795,mouse 8-cell 1,GSM1080206,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,8-cell blastomere,Mus musculus,cell type: 8-cell blastomere,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229795,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915426,NONE,,GSM1080206,,8C
SRX229796,mouse 8-cell 2,GSM1080207,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,8-cell blastomere,Mus musculus,cell type: 8-cell blastomere,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229796,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915427,NONE,,GSM1080207,,8C
SRX229797,mouse 8-cell 3,GSM1080208,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,8-cell blastomere,Mus musculus,cell type: 8-cell blastomere,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229797,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915428,NONE,,GSM1080208,,8C
SRX229798,mouse morula 1,GSM1080209,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,morula,Mus musculus,cell type: morula,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229798,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915429,NONE,,GSM1080209,,16C
SRX229799,mouse morula 2,GSM1080210,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,morula,Mus musculus,cell type: morula,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229799,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915430,NONE,,GSM1080210,,16C
SRX229800,mouse morula 3,GSM1080211,Public on Jul 29 2013,Feb 08 2013,May 15 2019,SRA,1,morula,Mus musculus,cell type: morula,strain: C57BL/6,Single cells were washed twice with 1x PBS containing 0.1% BSA before placing in lysis buffer.,"Single blastomeres were isolated by removing the zona pellucida using acidic tyrode solution (Sigma, cat. no. T1788), then separated by gentle mouth pipetting in a calcium-free medium.",polyA RNA,"RNA was isolated from single cells or single morula embryos and amplified as previously described (Tang et al., 2010, Nat Protoc)",Library construction was performed following Illumina manufacturer suggestions.,10090,processed data file = mouse_expression_mat.txt,Raw reads from the Illumina HiSeq2000 were mapped to the mm9 genome using default parameters in BWA,Mapped transcripts reads were transformed using the reads per kilobase per million (RPKM) metric,"Genes with low expression in all stages (average RPKM<0.1) were filtered out, followed by quantile normalization.",mm9,mouse_expression_mat.txt: matrix listing normalized RPKM,GPL13112,"Kevin,,Huang",310-267-0438,Guoping Fan,Human Genetics,UCLA,"Gonda BLDG Rm. 6554, P.O.Box 957088",Los Angeles,CA,90095-7088,USA,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX229800,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN01915431,NONE,,GSM1080211,,16C
